Assembly Accession	Organism Name	Organism Taxonomic ID	Assembly BioProject Accession	Assembly BioSample Accession	Assembly Name	Organism Infraspecific Names Strain	Assembly BioSample Strain 	Assembly Sequencing Tech	Assembly Stats Total Number of Chromosomes	Assembly Stats Total Sequence Length	Assembly Stats Genome Coverage	Assembly BioSample Project name  	CheckM completeness	CheckM completeness percentile	CheckM contamination	Assembly Release Date
GCF_040516025.1	Lactococcus lactis subsp. lactis	1360	PRJNA1128362	SAMN42045318	ASM4051602v1	CBA3648	CBA3648	PacBio Sequel System	1	2484036	271.8x		99.27	77.95276	1.62	2024-07-05
GCF_002148215.1	Lactococcus lactis subsp. lactis bv. diacetylactis	44688	PRJNA355067	SAMN06061939	ASM214821v1	FM03	FM03	Illumina HiSeq; PacBio	8	2509249	252.0x		98.52	28.937008	0.19	2017-05-17
GCF_003627395.2	Lactococcus lactis subsp. lactis bv. diacetylactis	44688	PRJNA494488	SAMN10167144	ASM362739v2	S50	S50	PacBio	7	2702171	30.0x		98.67	34.25197	1.97	2020-09-17
GCF_008728875.1	Lactococcus lactis subsp. lactis bv. diacetylactis	44688	PRJNA558943	SAMN12502795	ASM872887v1	SD96	SD96	PacBio Sequel; Illumina HiSeq	11	2636203	40.0x		98.68	34.842518	1	2019-09-30
GCF_017869415.1	Lactococcus lactis subsp. lactis bv. diacetylactis	44688	PRJNA699238	SAMN17768877	ASM1786941v1	Ge001	Ge001	Illumina and Pacbio	1	2409036	100.0x		98.68	34.842518	0.08	2021-04-08
GCF_000478255.1	Lactococcus lactis subsp. lactis NCDO 2118	1117941	PRJNA196165	SAMN02471376	ASM47825v2	NCDO 2118	NCDO 2118	ION Torrent PGM	2	2592264	474.0x		97.88	15.15748	0.6	2014-07-30
GCF_006770285.1	Lactococcus paracarnosus	2749962	PRJNA342276	SAMN05756390	ASM677028v1	TMW 2.1615	TMW 2.1615	PacBio	1	2265140	280.0x		89.85	40	2.99	2019-07-09
GCF_023499275.1	Lactococcus petauri	1940789	PRJNA821406	SAMN27069516	ASM2349927v1	B1726	B1726	Illumina MiSeq; Oxford Nanopore MinION	1	2106259	94.0x		99.79	93.85475	1.4	2022-05-18
GCF_030291915.1	Lactococcus petauri	1940789	PRJNA982970	SAMN35718236	ASM3029191v1	GB97	GB97	Nanopore	1	2396895	1.0x		99.65	78.21229	3.17	2023-06-20
GCF_037890745.1	Lactococcus petauri	1940789	PRJNA1055960	SAMN39081002	ASM3789074v1	UCD-MOJ1	UCD-MOJ1	Oxford Nanopore GridION; Illumina	1	2112082	198.0x		99.19	36.87151	1.4	2024-04-05
GCF_037890915.1	Lactococcus petauri	1940789	PRJNA1055960	SAMN39080999	ASM3789091v1	UCD-BR1	UCD-BR1	Oxford Nanopore GridION; Illumina	1	2112234	304.0x		99.23	48.60335	1.4	2024-04-05
GCF_037891695.1	Lactococcus petauri	1940789	PRJNA1055960	SAMN39080993	ASM3789169v1	R21-77-2	R21-77-2	Oxford Nanopore GridION; Illumina	1	2146072	98.0x		100	100	1.57	2024-04-05
GCF_037891785.1	Lactococcus petauri	1940789	PRJNA1055960	SAMN39080992	ASM3789178v1	R21-91A	R21-91A	Oxford Nanopore GridION; Illumina	1	2146082	188.0x		100	100	1.57	2024-04-05
GCF_037891795.1	Lactococcus petauri	1940789	PRJNA1055960	SAMN39080991	ASM3789179v1	M17100408 FF4i7	M17100408 FF4i7	Oxford Nanopore GridION; Illumina	1	2090887	35.0x		99.86	94.97207	1.4	2024-04-05
GCF_037892055.1	Lactococcus petauri	1940789	PRJNA1055960	SAMN39080988	ASM3789205v1	R21-74 AL-1	R21-74 AL-1	Oxford Nanopore GridION; Illumina	4	2135842	225.0x		99.16	35.75419	1.19	2024-04-05
GCF_038380455.1	Lactococcus petauri	1940789	PRJNA1074855	SAMN40028302	ASM3838045v1	L8	L8	Illumina NovaSeq; Oxford Nanopore MinION	1	2030232	695.0x		99.23	48.60335	1.54	2024-04-20
GCF_038380635.1	Lactococcus petauri	1940789	PRJNA1074855	SAMN40028300	ASM3838063v1	L6	L6	Illumina NovaSeq; Oxford Nanopore MinION	2	2066533	489.0x		98.95	20.670391	1.83	2024-04-20
GCF_038380785.1	Lactococcus petauri	1940789	PRJNA1074855	SAMN40028298	ASM3838078v1	L4	L4	Illumina NovaSeq; Oxford Nanopore MinION	3	1971217	477.0x		98.73	7.821229	2.04	2024-04-20
GCF_038380845.1	Lactococcus petauri	1940789	PRJNA1074855	SAMN40028297	ASM3838084v1	L3	L3	Illumina NovaSeq; Oxford Nanopore MinION	1	2039965	401.0x		99.23	48.60335	1.54	2024-04-20
GCF_038381585.1	Lactococcus petauri	1940789	PRJNA1074855	SAMN40028295	ASM3838158v1	L1	L1	Illumina NovaSeq; Oxford Nanopore MinION	5	2136639	458.0x		99.02	30.726257	1.75	2024-04-20
GCF_039644985.1	Lactococcus petauri	1940789	PRJNA1055960	SAMN39081005	ASM3964498v1	R21-69 HC	R21-69 HC	Oxford Nanopore GridION; Illumina	1	2112152	55.0x		99.09	33.519554	1.4	2024-05-18
GCF_039645005.1	Lactococcus petauri	1940789	PRJNA1055960	SAMN39081004	ASM3964500v1	UCD-FS1	UCD-FS1	Oxford Nanopore GridION; Illumina	1	2112152	60.0x		98.39	2.793296	1.4	2024-05-18
GCF_039645025.1	Lactococcus petauri	1940789	PRJNA1055960	SAMN39081003	ASM3964502v1	UCD-JR1	UCD-JR1	Oxford Nanopore GridION; Illumina	1	2112158	186.0x		99.23	48.60335	1.4	2024-05-18
GCF_039645045.1	Lactococcus petauri	1940789	PRJNA1055960	SAMN39081001	ASM3964504v1	R22-16 FS-A5	R22-16 FS-A5	Oxford Nanopore GridION; Illumina	1	2112204	190.0x		99.44	69.27374	1.4	2024-05-18
GCF_039645065.1	Lactococcus petauri	1940789	PRJNA1055960	SAMN39081000	ASM3964506v1	R22-11 BR-C	R22-11 BR-C	Oxford Nanopore GridION; Illumina	1	2112193	159.0x		99.44	69.27374	1.4	2024-05-18
GCF_039645215.1	Lactococcus petauri	1940789	PRJNA1055960	SAMN39080994	ASM3964521v1	S69-A	S69-A	Oxford Nanopore GridION; Illumina	1	2145353	266.0x		99.44	69.27374	1.54	2024-05-18
GCF_039645515.1	Lactococcus petauri	1940789	PRJNA1055960	SAMN39080990	ASM3964551v1	R22-25 IC35	R22-25 IC35	Oxford Nanopore GridION; Illumina	1	2082218	212.0x		100	100	1.54	2024-05-18
GCF_006965445.1	Lactococcus protaetiae	2592653	PRJNA552184	SAMN12179534	ASM696544v1	KACC 19320	KACC 19320	PacBio RSII	1	2696018	196.0x		83.56	100	2.08	2019-07-14
GCF_010669245.1	Lactococcus raffinolactis	1366	PRJNA605673	SAMN14074143	ASM1066924v1	KACC 13441	KACC 13441	PacBio RSII	1	2295672	482.0x		90.88	58.064518	3.33	2020-02-17
GCF_002310475.1	Lactococcus raffinolactis	1366	PRJNA404006	SAMN07627433	ASM231047v1	WiKim0068	WiKim0068	PacBio	3	2292235			91.25	67.741936	4.42	2017-09-18
GCF_012219705.1	Lactococcus raffinolactis	1366	PRJNA435410	SAMN13676123	ASM1221970v1	Lr_19_7	Lr_19_7	Illumina HiSeq; MinION	2	2405171	1045.0x		90.97	61.29032	5.73	2020-04-09
GCF_012219925.1	Lactococcus raffinolactis	1366	PRJNA435410	SAMN13676122	ASM1221992v1	Lr_19_5	Lr_19_5	Illumina HiSeq; MinION	2	2626341	780.0x		90.69	54.83871	4.17	2020-04-09
GCF_012220065.1	Lactococcus raffinolactis	1366	PRJNA435410	SAMN13676120	ASM1222006v1	Lr_19_14	Lr_19_14	Illumina HiSeq; MinION	2	2389467	960.0x		91.74	90.32258	5.35	2020-04-09
GCF_012220405.1	Lactococcus raffinolactis	1366	PRJNA435410	SAMN13676119	ASM1222040v1	Lr_18_12S	Lr_18_12S	Illumina HiSeq; MinION	3	2378211	1160.0x		91.54	87.09677	4.45	2020-04-09
GCF_040954465.1	Lactococcus raffinolactis	1366	PRJNA1086927	SAMN40419224	ASM4095446v1	APC3967	APC3967	Illumina; Oxford Nanopore	4	2348986	30.0x		91.54	87.09677	4.26	2024-07-31
GCF_029492705.2	Lactococcus sp. bn62	3037457	PRJNA944442	SAMN33748699	ASM2949270v2	bn62	bn62	Oxford Nanopore MinION	5	2265274	2.0x		98.84	50	3.87	2023-07-31
GCF_017309525.1	Lactococcus sp. LG1074	2816909	PRJNA705383	SAMN18086912	ASM1730952v1	LG1074	LG1074	Illumina NovaSeq 6000; Nanopore PromethION 48	2	2082475	200.0x		98.52	100	2.36	2021-03-09
GCF_017309545.1	Lactococcus sp. LG1267	2816910	PRJNA705383	SAMN18086946	ASM1730954v1	LG1267	LG1267	Illumina NovaSeq 6000; Nanopore PromethION 48	4	2181478	200.0x		99.02	100	2.51	2021-03-09
GCF_017309625.1	Lactococcus sp. LG592	2816911	PRJNA705383	SAMN18086908	ASM1730962v1	LG592	LG592	Illumina NovaSeq 6000; Nanopore PromethION 48	2	2162438	200.0x		99.02	100	1.9	2021-03-09
GCF_017309645.1	Lactococcus sp. LG606	2816912	PRJNA705383	SAMN18086909	ASM1730964v1	LG606	LG606	Illumina NovaSeq 6000; Nanopore PromethION 48	4	2318463	200.0x		99.58	100	3.13	2021-03-09
GCF_017068355.1	Lactococcus taiwanensis	1151742	PRJNA702868	SAMN17981207	ASM1706835v1	K_LL004	K_LL004	PacBio RSII	1	1995099	449.0x		96.46	54.545456	0.71	2021-02-28
GCF_016919665.1	Lactococcus taiwanensis	1151742	PRJNA702013	SAMN17922033	ASM1691966v1	K_LL001	K_LL001	PacBio RSII	1	2018259	327.0x		95.81	45.454544	0.71	2021-02-23
GCF_001746835.1	Lacunisphaera limnophila	1838286	PRJNA319155	SAMN04880612	ASM174683v1	IG16b	IG16b	PacBio	1	4199284	80.0x		86.31	100	9.2	2016-09-26
GCF_008831385.1	Lapidilactobacillus dextrinicus	51664	PRJNA566017	SAMN12777614	ASM883138v1	LH506	LH506	PacBio	1	1836976	440.8x		98.47	75	1.52	2019-10-07
GCF_002215055.1	Laribacter hongkongensis	168471	PRJNA389628	SAMN07204264	ASM221505v1	HLGZ1	HLGZ1	PacBio; Illumina MiSeq	1	3424272	33750.0x		93.44	64	7.09	2017-07-05
GCF_026248825.1	Larkinella insperata	332158	PRJNA901277	SAMN31711601	ASM2624882v1	LMG22510	LMG22510	Oxford Nanopore PromethION	1	6564943	160.0x		99.7	100	0.3	2022-11-21
GCF_001663835.1	Latilactobacillus curvatus	28038	PRJNA324160	SAMN05196003	ASM166383v1	FBA2	FBA2	PacBio RS II	1	1848756	1847.0x		98.04	29.545454	0.08	2016-06-14
GCF_001698165.1	Latilactobacillus curvatus	28038	PRJNA327475	SAMN05300426	ASM169816v1	WiKim52	WiKim52	Helicos; PacBio	1	1986991	449.0x		98.69	100	0.08	2016-08-02
GCF_001723545.1	Latilactobacillus curvatus	28038	PRJNA341439	SAMN05722918	ASM172354v1	WiKim38	WiKim38	PacBio	1	1940170	225.6x		98.69	100	0.3	2016-09-13
GCF_002224425.1	Latilactobacillus curvatus	28038	PRJNA394869	SAMN07361834	ASM222442v1	MRS6	MRS6	PacBio	1	2114309	300.0x		98.47	50	0.41	2017-07-24
GCF_002224505.1	Latilactobacillus curvatus	28038	PRJNA377839	SAMN07350659	ASM222450v1	KG6	KG6	PacBio	2	2002764	300.0x		98.58	53.409092		2017-07-24
GCF_003254785.1	Latilactobacillus curvatus	28038	PRJNA427852	SAMN08225692	ASM325478v1	ZJUNIT8	ZJUNIT8	Illumina MiSeq; PacBio	5	1951148	415.0x		98.69	100	0.08	2018-06-19
GCF_003410375.1	Latilactobacillus curvatus	28038	PRJNA480837	SAMN09650818	ASM341037v1	TMW 1.1928	TMW 1.1928	PacBio	6	2175649	383.0x		98.26	36.363636	0.08	2018-08-21
GCF_003957415.1	Latilactobacillus curvatus	28038	PRJNA422742	SAMN08195737	ASM395741v1	IRG2	IRG2	PacBio	2	1986423	514.0x		98.26	36.363636	0.08	2018-12-20
GCF_004088235.1	Latilactobacillus curvatus	28038	PRJNA515155	SAMN10743381	ASM408823v1	SRCM103465	SRCM103465	PacBio RSII; Illumina MiSeq	1	2042320	265.5x		97.49	15.909091	0.08	2019-01-21
GCF_007954645.1	Latilactobacillus curvatus	28038	PRJNA544551	SAMN11843669	ASM795464v1	CBA3617	CBA3617	PacBio RSII	1	1915352	328.1x		98.69	100	0.74	2019-08-11
GCF_018732225.1	Latilactobacillus curvatus	28038	PRJNA733287	SAMN19373080	ASM1873222v1	SPC-SNU 70-3	SPC-SNU 70-3	PacBio RSII; Illumina MiSeq	2	1905983	854.9x		98.69	100	0.08	2021-06-07
GCF_019704515.1	Latilactobacillus curvatus	28038	PRJDB11678	SAMD00323104	ASM1970451v1	WDN19	WDN19	PacBio RSII	2	2034110	597.0x	Whole genome sequence Latilactobacillus sp. strain WDN19	98.04	29.545454	0.21	2021-06-11
GCF_024172305.1	Latilactobacillus curvatus	28038	PRJNA317414	SAMN04606847	ASM2417230v1	TMW 1.1381	TMW 1.1381	PacBio	1	1948585	455.0x		96.41	10.227273	0.08	2022-07-06
GCF_024172325.1	Latilactobacillus curvatus	28038	PRJNA317414	SAMN04606848	ASM2417232v1	TMW 1.1390	TMW 1.1390	PacBio	1	1977421	513.0x		97.91	21.59091	0.08	2022-07-06
GCF_024172625.1	Latilactobacillus curvatus	28038	PRJNA317414	SAMN04606853	ASM2417262v1	TMW 1.421	TMW 1.421	PacBio	2	1994091	232.0x		96.71	11.363636	0.08	2022-07-06
GCF_024172645.1	Latilactobacillus curvatus	28038	PRJNA317414	SAMN04606849	ASM2417264v1	TMW 1.27	TMW 1.27	PacBio	3	2056372	552.0x		94.55	7.9545455	1.61	2022-07-06
GCF_024172665.1	Latilactobacillus curvatus	28038	PRJNA317414	SAMN04606854	ASM2417266v1	TMW 1.595	TMW 1.595	PacBio	2	2032028	577.0x		95.14	9.090909	1.72	2022-07-06
GCF_027942455.1	Latilactobacillus curvatus	28038	PRJNA922619	SAMN32670620	ASM2794245v1	SRCM217410	SRCM217410	PacBio Sequel; Illumina HiSeq	1	1924786	325.0x		98.69	100	0.08	2023-01-23
GCF_030062375.1	Latilactobacillus curvatus	28038	PRJNA957103	SAMN34246723	ASM3006237v1	ZHA1	ZHA1	Illumina NovaSeq; PacBio Sequel	3	2051648	200.0x		98.69	100	0.08	2023-05-22
GCF_030144365.1	Latilactobacillus curvatus	28038	PRJNA975211	SAMN35318463	ASM3014436v1	KFRI-K200347	KFRI-K200347	PacBio Sequel; Illumina HiSeq	1	1928284	309.6x		98.69	100	0.08	2023-06-01
GCF_035621435.1	Latilactobacillus curvatus	28038	PRJNA1058865	SAMN39190918	ASM3562143v1	K285	K285	Illumina; Nanopore	8	2075030	527.7x		98.69	100	0.08	2024-01-14
GCF_004101845.1	Latilactobacillus curvatus JCM 1096 = DSM 20019	1293592	PRJNA397497	SAMN07459897	ASM410184v1	DSM 20019	DSM 20019	PacBio	2	1916521	245.9x		98.69	100	0.74	2019-01-22
GCF_009025875.1	Latilactobacillus graminis	60519	PRJNA566018	SAMN12777627	ASM902587v1	LG542	LG542	PacBio	1	1807083	410.5x		96.41	50	0.08	2019-10-14
GCF_009676365.1	Latilactobacillus sakei	1599	PRJNA588925	SAMN13258981	ASM967636v1	CBA3614	CBA3614	PacBio RSII	3	2018071	541.1x		98.69	100		2019-11-20
GCF_002224565.1	Latilactobacillus sakei	1599	PRJNA377839	SAMN06473274	ASM222456v1	FAM18311	FAM18311	PacBio	3	2056563	30.0x		98.69	100		2017-07-24
GCF_002250035.1	Latilactobacillus sakei	1599	PRJNA397368	SAMN07454401	ASM225003v1	WiKim0063	WiKim0063	PacBio; Illumina HiSeq	3	2075520	504.0x		98.69	100		2017-08-14
GCF_003288195.1	Latilactobacillus sakei	1599	PRJNA421216	SAMN08135309	ASM328819v1	WiKim0072	WiKim0072	Illumina; PacBio	3	2032521	605.0x		98.69	100		2018-07-05
GCF_003288235.1	Latilactobacillus sakei	1599	PRJNA421390	SAMN08142168	ASM328823v1	WiKim0074	WiKim0074	Illumina; PacBio	3	2037873	571.0x		98.69	100	0.11	2018-07-05
GCF_003627235.1	Latilactobacillus sakei	1599	PRJNA392832	SAMN07311129	ASM362723v1	ZFM225	ZFM225	PacBio RSII; Illumina HiSeq	2	2015501	54.0x		98.69	100		2018-10-08
GCF_003627275.1	Latilactobacillus sakei	1599	PRJNA392719	SAMN07305403	ASM362727v1	ZFM220	ZFM220	PacBio RSII; Illumina HiSeq	2	2015521	62.0x		98.04	31.092438		2018-10-08
GCF_003627315.1	Latilactobacillus sakei	1599	PRJNA392727	SAMN07305421	ASM362731v1	ZFM229	ZFM229	PacBio RSII; Illumina HiSeq	2	2015489	54.0x		98.69	100		2018-10-08
GCF_003627875.1	Latilactobacillus sakei	1599	PRJNA392713	SAMN07305388	ASM362787v1	LZ217	LZ217	PacBio RSII; Illumina HiSeq	2	2015495	53.0x		98.4	38.65546		2018-10-09
GCF_010092945.1	Latilactobacillus sakei	1599	PRJNA598112	SAMN13698554	ASM1009294v1	MBEL1397	MBEL1397	PacBio RSII	1	1994569	652.0x		98.4	38.65546		2020-02-03
GCF_014081765.1	Latilactobacillus sakei	1599	PRJNA649110	SAMN15659521	ASM1408176v1	CBA3635	CBA3635	PacBio RSII; Illumina HiSeq	2	2062275	413.0x		98.69	100		2020-08-06
GCF_023734195.1	Latilactobacillus sakei	1599	PRJNA317414	SAMN04606856	ASM2373419v1	TMW 1.46	TMW 1.46	PacBio	2	2079718	300.0x		94.42	11.764706	0.33	2022-06-15
GCF_023734215.1	Latilactobacillus sakei	1599	PRJNA317414	SAMN04606855	ASM2373421v1	TMW 1.3	TMW 1.3	PacBio	2	1930337	485.0x		94.42	11.764706	0.33	2022-06-15
GCF_023734255.1	Latilactobacillus sakei	1599	PRJNA317414	SAMN04606860	ASM2373425v1	TMW 1.1239	TMW 1.1239	PacBio	1	1975742	422.0x		98.69	100		2022-06-15
GCF_023734275.1	Latilactobacillus sakei	1599	PRJNA317414	SAMN04606861	ASM2373427v1	TMW 1.1396	TMW 1.1396	PacBio	2	1935698	480.0x		97.39	16.806723		2022-06-15
GCF_023734295.1	Latilactobacillus sakei	1599	PRJNA317414	SAMN04606862	ASM2373429v1	TMW 1.1398	TMW 1.1398	PacBio	4	2066572	618.0x		96.73	15.12605		2022-06-15
GCF_023734315.1	Latilactobacillus sakei	1599	PRJNA317414	SAMN04606857	ASM2373431v1	TMW 1.114	TMW 1.114	PacBio	2	1976338	320.0x		98.45	39.4958		2022-06-15
GCF_023734335.1	Latilactobacillus sakei	1599	PRJNA317414	SAMN04606858	ASM2373433v1	TMW 1.417	TMW 1.417	PacBio	2	1980463	387.0x		98.04	31.092438		2022-06-15
GCF_023734355.1	Latilactobacillus sakei	1599	PRJNA317414	SAMN04606859	ASM2373435v1	TMW 1.578	TMW 1.578	PacBio	2	1976312	488.0x		97.93	23.529411		2022-06-15
GCF_024022895.1	Latilactobacillus sakei	1599	PRJNA845007	SAMN28854070	ASM2402289v1	WiKim0095	WiKim0095	PacBio_20K	3	2119284	300.9x		98.69	100		2022-06-29
GCF_029536225.1	Latilactobacillus sakei	1599	PRJNA945229	SAMN33776378	ASM2953622v1	PMC104	PMC104	PacBio Sequel	2	2015612	5939.6x		98.04	31.092438		2023-04-01
GCF_029677405.1	Latilactobacillus sakei	1599	PRJNA905115	SAMN31865533	ASM2967740v1	CNSC001WB	CNSC001WB	Illumina MiSeq; Oxford Nanopore MinION	3	2092783	589.0x		98.69	100		2023-04-11
GCF_029854175.1	Latilactobacillus sakei	1599	PRJNA953145	SAMN34105785	ASM2985417v1	HUP1	HUP1	Illumina; PacBio	1	2160337	693.5x		98.69	100		2023-04-23
GCF_038396725.1	Latilactobacillus sakei	1599	PRJNA971182	SAMN35022400	ASM3839672v1	A1291	A1291	Oxford Nanopore MinIon	1	1989042	156.0x		97.83	21.84874	0.65	2024-04-21
GCF_038396735.1	Latilactobacillus sakei	1599	PRJNA971182	SAMN35022398	ASM3839673v1	A1262	A1262	Oxford Nanopore MinIon	1	1989051	205.0x		98.25	33.613445		2024-04-21
GCF_018437525.1	Latilactobacillus sakei subsp. sakei	214326	PRJNA729578	SAMN19131981	ASM1843752v1	ob4.1	ob4.1	PacBio	1	2030031	12.0x		98.04	31.092438		2021-05-21
GCF_023734235.1	Latilactobacillus sakei subsp. sakei	214326	PRJNA317414	SAMN05767706	ASM2373423v1	TMW 1.1189	TMW 1.1189	PacBio	1	1942056	581.0x		95.42	12.605042	0.65	2022-06-15
GCF_036689565.1	Latilactobacillus sakei subsp. sakei	214326	PRJNA1074516	SAMN39861922	ASM3668956v1	DCF0720	DCF0720	Illumina NextSeq; Oxford Nanopore GridION	2	2089340	902.0x		98.69	100		2024-04-05
GCF_040516035.1	Latilactobacillus sakei subsp. sakei	214326	PRJNA1128364	SAMN42045432	ASM4051603v1	CBA3649	CBA3649	PacBio Sequel system	1	1984394	386.0x		98.69	100		2024-07-05
GCF_037043395.1	Lautropia mirabilis ATCC 51599	887898	PRJNA1080314	SAMN40125994	ASM3704339v1	ATCC 51599	ATCC 51599	PacBio	1	3162028	100.0x		89.33	68.57143	0.94	2024-04-05
GCF_025736895.1	Lawsonia intracellularis	29546	PRJNA885268	SAMN31081238	ASM2573689v1	PPE-GX01-2022	PPE-GX01-2022	PacBio	4	1699035	10270.6x		87.96	22.222221		2022-10-18
GCF_022453915.1	Lawsonibacter asaccharolyticus	2108523	PRJNA800461	SAMN25248158	ASM2245391v1	OA10	OA10	PacBio Sequel	1	3126090	614.4x		98.14	100	1.24	2022-03-03
GCF_001518835.1	Leclercia adecarboxylata	83655	PRJNA281531	SAMN04158503	ASM151883v1	USDA-ARS-USMARC-60222	USDA-ARS-USMARC-60222	PacBio P6 C4	1	4803917	215.0x		100	100		2016-01-20
GCF_004295325.1	Leclercia adecarboxylata	83655	PRJNA522028	SAMN10923138	ASM429532v1	16005813	16005813	PacBio RSII	1	4815267	177.0x		100	100		2019-02-25
GCF_006171285.1	Leclercia adecarboxylata	83655	PRJNA546447	SAMN11950933	ASM617128v1	Z96-1	Z96-1	Oxford Nanopore MiniION	8	5764469	100.0x		99.72	9.090909	0.03	2019-06-10
GCF_006874705.1	Leclercia adecarboxylata	83655	PRJNA516510	SAMN10790527	ASM687470v1	R25	R25	PacBio RSII	3	4914767	100.0x		100	100		2019-07-11
GCF_008807335.1	Leclercia adecarboxylata	83655	PRJNA559240	SAMN12530229	ASM880733v1	J656	J656	PacBio RSII	1	4835321	100.0x		100	100		2019-10-03
GCF_008931385.1	Leclercia adecarboxylata	83655	PRJNA550014	SAMN12289350	ASM893138v1	E61	E61	Oxford Nanopore MiniION	6	5693841	2671.0x		100	100		2019-10-09
GCF_008931445.1	Leclercia adecarboxylata	83655	PRJNA550014	SAMN12289304	ASM893144v1	E1	E1	Oxford Nanopore MiniION	7	5513142	3841.0x		100	100	0.03	2019-10-09
GCF_009720165.1	Leclercia adecarboxylata	83655	PRJNA590860	SAMN13341565	ASM972016v1	P12375	P12375	PacBio RSII	1	4925851	100.0x		100	100		2019-11-28
GCF_011045715.1	Leclercia adecarboxylata	83655	PRJNA562129	SAMN12634788	ASM1104571v1	L21	L21	PacBio RSII	1	4828450	100.0x		100	100		2020-03-02
GCF_011045735.1	Leclercia adecarboxylata	83655	PRJNA562132	SAMN12634804	ASM1104573v1	G426	G426	PacBio Sequel	1	4869227	200.0x		98.07	2.020202		2020-03-02
GCF_011387015.1	Leclercia adecarboxylata	83655	PRJNA609890	SAMN14260873	ASM1138701v1	707804	707804	PacBio RSII	1	4773926	100.0x		100	100		2020-03-17
GCF_020097395.1	Leclercia adecarboxylata	83655	PRJNA231221	SAMN21218861	ASM2009739v1	FDAARGOS_1505	FDAARGOS_1505	Pacbio; Illumina	1	5057123	1660.6x		100	100		2021-09-23
GCF_020990425.1	Leclercia adecarboxylata	83655	PRJNA780610	SAMN23176409	ASM2099042v1	SH19PE29	SH19PE29	PacBio RS	7	5154037	100.0x		100	100	0.41	2021-11-27
GCF_023612295.1	Leclercia adecarboxylata	83655	PRJNA690698	SAMN17257735	ASM2361229v1	YZ30	YZ30	Illumina HiSeq; PacBio	3	4958825	100.0x		100	100		2022-05-31
GCF_023639785.1	Leclercia adecarboxylata	83655	PRJNA842664	SAMN28680228	ASM2363978v1	kcgeb_e1	kcgeb_e1	Illumina NovaSeq; Oxford Nanopore MinION	2	4737720	300.0x		100	100		2022-06-02
GCF_025790845.1	Leclercia adecarboxylata	83655	PRJNA812595	SAMN28788546	ASM2579084v1	2022CK-00320	2022CK-00320	Illumina MiSeq; Oxford Nanopore GridION	4	5122982	21.0x		100	100		2022-10-22
GCF_030388365.1	Leclercia adecarboxylata	83655	PRJNA885236	SAMN31079621	ASM3038836v1	17YN198	17YN198	Illumina NovaSeq; PacBio Sequel	5	5090559	200.0x		100	100		2023-07-03
GCF_032598765.1	Leclercia adecarboxylata	83655	PRJNA865488	SAMN30113927	ASM3259876v1	M17	M17	Oxford Nanopore	3	5211920	100.0x		99.17	8.080808		2023-10-12
GCF_036771045.1	Leclercia adecarboxylata	83655	PRJNA841055	SAMN30866106	ASM3677104v1	QDSM01	QDSM01	PacBio Sequel	6	5116741	100.0x		100	100		2024-04-05
GCF_039085625.1	Leclercia adecarboxylata	83655	PRJNA1098961	SAMN40926016	ASM3908562v1	WWCOL-134	WWCOL-134	PacBio Sequel; Illumina NovaSeq	6	5081163	180.0x		100	100		2024-05-03
GCF_017348915.1	Leclercia pneumoniae	2815358	PRJNA705593	SAMN18093163	ASM1734891v1	49125	49125	Illumina MiSeq; Oxford Nanopore MinION	2	4395246	80.0x		100	100		2021-03-13
GCF_018987305.1	Leclercia pneumoniae	2815358	PRJNA738272	SAMN19717142	ASM1898730v1	49125	49125	Oxford Nanopore; Illumina	1	4392327	100.0x		100	100		2021-06-23
GCF_037853395.1	Leclercia pneumoniae	2815358	PRJNA1083841	SAMN40261017	ASM3785339v1	49125	49125	Oxford Nanopore MinION	1	4688841	205.0x		98.46	33.333332		2024-04-05
GCF_009734485.1	Leclercia sp. 119287	2681308	PRJNA591972	SAMN13394079	ASM973448v1	119287	119287	PacBio RSII	1	4873875	100.0x		100	100		2019-12-09
GCF_011290365.1	Leclercia sp. 29361	2714951	PRJNA609883	SAMN14260760	ASM1129036v1	29361	29361	PacBio RSII	1	4943774	100.0x		100	100		2020-03-14
GCF_009740165.1	Leclercia sp. Colony189	2681309	PRJNA591978	SAMN13394552	ASM974016v1	1106151	1106151	PacBio Sequel	1	4850895	200.0x		100	100		2019-12-11
GCF_021117075.1	Leclercia sp. G3L	2898725	PRJNA783673	SAMN23441844	ASM2111707v1	G3L	G3L	Oxford Nanopore MinION	3	5093943	100.0x		100	100		2021-12-08
GCF_009734465.1	Leclercia sp. J807	2681307	PRJNA591964	SAMN13393390	ASM973446v1	J807	J807	PacBio RSII	1	4719331	100.0x		100	100		2019-12-09
GCF_002902985.1	Leclercia sp. LSNIH1	1920114	PRJNA430813	SAMN06040403	ASM290298v1	LSNIH1	LSNIH1	PacBio RSII	5	5411940	250.0x		100	100		2018-01-29
GCF_002935105.1	Leclercia sp. LSNIH3	1920116	PRJNA430813	SAMN06040408	ASM293510v1	LSNIH3	LSNIH3	PacBio RSII	5	5389886	176.0x		100	100		2018-02-04
GCF_003336325.1	Leclercia sp. W17	2282309	PRJNA478624	SAMN09667311	ASM333632v1	w17	w17	PacBio RS II and Illumina HiSeq 4000	3	5125645	266.0x		100	100		2018-07-24
GCF_003336345.1	Leclercia sp. W6	2282310	PRJNA478624	SAMN09667310	ASM333634v1	W6	W6	PacBio RS II and Illumina HiSeq 4000	1	4945486	277.0x		99.93	100		2018-07-24
